id,country,HDI Code,Coefficient of Human Inequality,Overall loss (%),Inequality in life expectancy,Inequality in eduation,Inequality in income
USA,United States,Very High,10.63809158,11.07491857,5.946424961,2.745849765,23.222
UZB,Uzbekistan,High,,,8.517651558,0.550110115,
VCT,Saint Vincent and the Grenadines,High,,,9.120908737,9.166052393,
VEN,Venezuela (Bolivarian Republic of),Medium,14.16183998,14.32706223,12.81492996,8.67058997,21.0
VNM,Viet Nam,High,14.32867907,14.36699858,13.1303072,15.25479,14.60094
VUT,Vanuatu,Medium,,,14.0302496,,19.68256999
WSM,Samoa,High,13.10658815,13.29561528,10.41972446,7.02996,21.87008
YEM,Yemen,Low,31.54348443,32.52747253,26.68957329,46.13765,21.80323
ZAF,South Africa,High,31.05112691,33.94109397,18.86325073,17.29413,56.996
ZMB,Zambia,Medium,30.10964459,30.97345133,25.05299377,20.43572,44.84022
ZWE,Zimbabwe,Medium,22.47084979,22.76559865,24.03850937,14.60503,28.76901
