iso3,country,HDI_Code,ihdi_2021,Coefficient_of_Human Inequality,Overall loss (%),Inequality_in_life_expectancy(%),Inequality_in_eduation(%),Inequality_in_income(%)
MLT,Malta,Very High,0.849,7.425981436,7.516339869,3.227544308,5.19238,13.85802
MNE,Montenegro,Very High,0.756,9.010792996,9.134615385,2.293318987,7.81501,16.92405
MNG,Mongolia,High,0.644,12.72536745,12.85520974,9.34619236,11.88363,16.94628
MOZ,Mozambique,Low,0.3,32.40842271,32.73542601,28.29929733,40.5314308,28.39454
MRT,Mauritania,Medium,0.389,29.02167279,30.03597122,25.73825836,43.98689,17.33987
MUS,Mauritius,Very High,0.666,16.9101772,16.95760599,10.63656712,21.91298205,18.18098242
MWI,Malawi,Low,0.377,26.32042065,26.3671875,19.67700195,28.00731,31.27695
NAM,Namibia,Medium,0.402,32.83945475,34.63414634,19.91711426,25.01567,53.58558
NER,Niger,Low,0.292,26.71059986,27.0,28.73307037,34.96483,16.43389921
NGA,Nigeria,Low,0.341,36.02441703,36.26168224,39.60649109,40.41507,28.05169
NIC,Nicaragua,Medium,0.516,22.12122876,22.63868066,9.870848656,25.79903661,30.693801
NLD,Netherlands,Very High,0.878,6.697945352,6.695005313,3.334346056,4.86674,11.89275
NOR,Norway,Very High,0.908,5.435151511,5.51508845,2.541614532,2.3324,11.43144
NPL,Nepal,Medium,0.449,24.31912877,25.41528239,15.5418663,41.0992,16.31632
NZL,New Zealand,Very High,0.865,7.486808254,7.684098186,4.170894623,1.840131778,16.44939836
OMN,Oman,Very High,0.708,13.04890453,13.23529412,7.109055996,11.94880067,20.08885691
PAK,Pakistan,Low,0.38,29.21919322,30.14705882,26.89546967,43.52795,17.23416
PAN,Panama,Very High,0.64,19.60325211,20.49689441,10.8678236,11.37222672,36.569706
PER,Peru,High,0.635,16.42213438,16.66666667,8.638419151,14.32733,26.300654
PHL,Philippines,Medium,0.574,17.52378166,17.88268956,14.38008499,10.0958,28.09546
PNG,Papua New Guinea,Medium,0.397,28.47612536,28.85304659,20.87701607,35.65204,28.89932
POL,Poland,Very High,0.816,6.831017673,6.849315068,3.926383018,4.45925,12.10742
PRT,Portugal,Very High,0.773,10.56989309,10.73903002,3.195029259,13.05276,15.46189
PRY,Paraguay,High,0.582,18.32046414,18.82845188,11.36716843,13.15316,30.441064
PSE,"Palestine, State of",High,0.584,17.62148711,18.32167832,10.249897,10.97456434,31.64
ROU,Romania,Very High,0.733,10.40918618,10.71863581,4.896038532,5.43438,20.89714
RUS,Russian Federation,Very High,0.751,8.408886355,8.637469586,5.545659065,2.036,17.645
RWA,Rwanda,Low,0.402,24.64764153,24.71910112,19.39137459,27.35907,27.19248
SDN,Sudan,Low,0.336,33.47931716,33.85826772,24.98774147,42.45021,33.0
SEN,Senegal,Low,0.354,29.54915667,30.72407045,18.12817001,47.1353,23.384
SGP,Singapore,Very High,0.817,12.40971664,12.99254526,2.261428118,10.00732115,24.96040064
SLE,Sierra Leone,Low,0.309,34.15862986,35.22012579,35.11730957,47.50289,19.85569
SLV,El Salvador,Medium,0.548,18.60811171,18.81481481,9.549283028,23.7938081,22.481244
SRB,Serbia,Very High,0.72,9.933117503,10.2244389,4.10859251,7.19484,18.49592
SSD,South Sudan,Low,0.245,36.25986686,36.36363636,36.97409058,39.55255,32.25296
STP,Sao Tome and Principe,Medium,0.503,18.42481067,18.60841424,10.36841202,18.69702,26.209
SUR,Suriname,High,0.532,25.34968467,27.12328767,10.98505402,18.36769,46.69631
SVK,Slovakia,Very High,0.803,5.168764951,5.306603774,4.692834854,1.74792,9.06554
SVN,Slovenia,Very High,0.878,4.371241934,4.357298475,2.748835802,2.05965,8.30524
SWE,Sweden,Very High,0.885,6.416554863,6.546990496,2.610124588,3.8679,12.77164
SWZ,Eswatini (Kingdom of),Medium,0.424,28.60195229,28.97822446,23.79930687,24.10655,37.9
SYC,Seychelles,High,0.661,15.14949785,15.79617834,9.446657181,6.65648,29.34535638
TCD,Chad,Low,0.251,35.99797978,36.29441624,38.55884933,42.9329,26.50219
TGO,Togo,Low,0.372,30.7737213,30.98330241,27.74024391,37.72766,26.85326
THA,Thailand,Very High,0.686,14.16798364,14.25,6.868660927,16.84539,18.7899
TJK,Tajikistan,Medium,0.599,12.34022282,12.55474453,16.51501846,6.03825,14.4674
TKM,Turkmenistan,High,0.619,16.37204107,16.91275168,19.9665432,2.94467,26.20491
TLS,Timor-Leste,Medium,0.44,26.24257376,27.51235585,20.22848129,44.91179,13.58745
TON,Tonga,High,0.666,10.43202966,10.60402685,8.745738983,4.30943,18.24092
TUN,Tunisia,High,0.588,19.18297336,19.5622435,9.956520081,30.70285,16.88955
TUR,Turkey,Very High,0.717,14.195661,14.43914081,5.864824295,13.64287582,23.07928288
TUV,Tuvalu,Medium,0.541,15.49879814,15.60062402,14.37229443,9.17696,22.94714
TZA,Tanzania (United Republic of),Low,0.418,23.69202603,23.86156648,21.7159481,26.96013,22.4
UGA,Uganda,Low,0.396,24.41962152,24.57142857,20.4040966,27.91438,24.94038796
UKR,Ukraine,High,0.726,5.967098327,6.080206986,5.777312279,3.59926,8.524722702
URY,Uruguay,Very High,0.71,11.83641913,12.23733004,5.416339397,6.54951,23.543408
USA,United States,Very High,0.819,10.63809158,11.07491857,5.946424961,2.745849765,23.222
VEN,Venezuela (Bolivarian Republic of),Medium,0.592,14.16183998,14.32706223,12.81492996,8.67058997,21.0
VNM,Viet Nam,High,0.602,14.32867907,14.36699858,13.1303072,15.25479,14.60094
WSM,Samoa,High,0.613,13.10658815,13.29561528,10.41972446,7.02996,21.87008
YEM,Yemen,Low,0.307,31.54348443,32.52747253,26.68957329,46.13765,21.80323
ZAF,South Africa,High,0.471,31.05112691,33.94109397,18.86325073,17.29413,56.996
ZMB,Zambia,Medium,0.39,30.10964459,30.97345133,25.05299377,20.43572,44.84022
ZWE,Zimbabwe,Medium,0.458,22.47084979,22.76559865,24.03850937,14.60503,28.76901
